ID,Country,adm1_code,Prison_population,"Prison_Population_per_100,000",Jail_occupancy_level_%,Un-sentenced prisoners %,Women prisoners %
USA,US,USA,2193798,737,107.6,21.2,8.9
CHN,CHINA,CHN,1548498,118,0,0,4.6
RUS,RUSSIA,RUS,874161,615,79.5,16.9,6.8
BRA,BRAZIL,BRA,371482,193,150.9,33.1,5.4
IND,INDIA,IND,332112,30,139,70.1,3.7
MEX,MEXICO,MEX,214450,196,133.9,43.2,5
UKR,UKRAINE,UKR,162602,350,101.3,19.5,6.1
ZAF,SOUTH AFRICA,ZAF,158501,334,138.6,27.5,2.1
POL,POLAND,POL,89546,235,124.4,16.8,3
JPN,JAPAN,JPN,79052,62,105.9,14.7,5.9
KEN,KENYA,KEN,47036,130,284.3,45.6,42
TUR,TURKEY,TUR,65458,91,77.4,47.7,3.3
NGA,NIGERIA,NGA,40444,30,101.5,64.3,1.9
AUS,AUSTRALIA,AUS,25790,125,105.9,21.6,7.1
NOR,NORWAY,NOR,3048,66,92.1,15.9,4.8
